"KorhazRovid";"Korhaz";"SzakmaKod";"SzakmaMegnev";"OsszesAgy";"MukodoIAgy";"MukodoIIAgy";"TartoSzuneteloAgy";"OsszesAtlagAgy";"MukodoAtlagAgy";"ElbocsatottBetegSzam";"EltavozottBetegSzam";"MasOsztalyBetegSzam";"MeghaltBetegSzam";"EgynaposEsetSzam";"TeljesithetoApolasiNapSzam";"TeljesitettApolasiNapSzam";"ApolasAtlTartam";"Agykihasznalas";"Halalozas";"Ev";"Fenntarto"
"0101";"0101 Fovárosi Szent Imre KH-RI";"01";"Belgyógyászat";280;280;280;0;280;280;12369;10626;1316;427;2;102200;92822;7,5;90,82;3,45;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"02";"Sebészet";0;0;0;0;44,9;41,3;2972;2685;242;45;0;15082;16122;5,42;106,9;1,51;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"04";"Szülészet-nogyógyászat";0;0;0;0;44,9;42,3;3163;3151;11;1;0;15436;11941;3,78;77,36;0,03;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"06";"Fül-orr-gégegyógyászat";0;0;0;0;22,4;22,4;2661;2628;8;25;5;8190;7874;2,96;96,14;0,94;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"07";"Szemészet";0;0;0;0;15;15;1179;1171;8;0;1;5460;3772;3,2;69,08;0;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"09";"Neurológia";61;61;61;0;61;61;2320;1947;305;68;0;22265;16655;7,18;74,8;2,93;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"12";"Onkológia, onkoradiológia";32;32;32;0;32;32;2183;2118;36;29;0;11680;9571;4,38;81,94;1,33;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"15";"Aneszteziológiai és intenzív betegellátás";13;13;13;0;13;13;1215;236;777;202;0;4745;4707;3,87;99,2;16,63;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"17";"Sürgosségi betegellátás";5;5;5;0;1,3;1,3;520;503;13;4;0;460;561;1,08;121,96;0,77;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"18";"Pszichiátria";40;40;40;0;40;40;937;855;62;20;0;14600;14442;15,41;98,92;2,13;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"19";"Tüdogyógyászat";40;40;40;0;40;40;1260;1001;163;96;0;14600;11187;8,88;76,62;7,62;2003;"Önkormányzati kórházak"
"0101";"0101 Fovárosi Szent Imre KH-RI";"92";"Sebészeti típusú mátrix";170;170;170;0;42,9;42,9;3701;3559;120;22;5;15640;14306;3,87;91,47;0,59;2003;"Önkormányzati kórházak"
"0104";"0104 Fovárosi Önkormányzat Csepeli Weiss Manfréd Kórháza";"01";"Belgyógyászat";90;90;90;0;44,6;44,6;1583;1341;126;116;0;16290;13083;8,26;80,31;7,33;2003;"Önkormányzati kórházak"
"0104";"0104 Fovárosi Önkormányzat Csepeli Weiss Manfréd Kórháza";"02";"Sebészet";40;40;40;0;19,8;19,8;798;689;97;12;0;7240;4385;5,49;60,57;1,5;2003;"Önkormányzati kórházak"
"0104";"0104 Fovárosi Önkormányzat Csepeli Weiss Manfréd Kórháza";"03";"Ortopédia-traumatológia";30;30;30;0;14,9;14,9;490;469;19;2;3;5430;2712;5,53;49,94;0,41;2003;"Önkormányzati kórházak"
"0104";"0104 Fovárosi Önkormányzat Csepeli Weiss Manfréd Kórháza";"04";"Szülészet-nogyógyászat";40;40;40;0;19,8;19,8;1014;1009;4;1;0;7240;4147;4,09;57,28;0,1;2003;"Önkormányzati kórházak"
"0104";"0104 Fovárosi Önkormányzat Csepeli Weiss Manfréd Kórháza";"15";"Aneszteziológiai és intenzív betegellátás";4;4;4;0;2;2;62;1;41;20;0;724;288;4,65;39,78;32,26;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"01";"Belgyógyászat";230;230;230;0;230;230;8567;7136;1053;378;17;83950;63213;7,38;75,3;4,41;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"02";"Sebészet";134;134;134;0;146,8;146,8;5823;5316;405;102;9;53586;34260;5,88;63,93;1,75;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"03";"Ortopédia-traumatológia";150;150;150;0;150;150;6139;5527;536;76;54;54750;38342;6,25;70,03;1,24;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"04";"Szülészet-nogyógyászat";40;40;40;0;40;40;4106;4077;29;0;331;14600;14672;3,57;100,49;0;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"05";"Csecsemo- és gyermekgyógyászat";24;24;24;0;24;24;1374;1337;35;2;0;8760;8925;6,5;101,88;0,15;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"06";"Fül-orr-gégegyógyászat";32;32;32;0;32;32;1890;1855;24;11;0;11680;8666;4,59;74,2;0,58;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"07";"Szemészet";21;21;21;0;21;21;1595;1578;17;0;13;7665;3957;2,48;51,62;0;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"09";"Neurológia";42;42;42;0;42;42;1504;1244;178;82;0;15330;13582;9,03;88,6;5,45;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"10";"Ortopédia-traumatológia";28;28;28;0;28;28;953;906;45;2;3;10220;8505;8,92;83,22;0,21;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"11";"Urológia";30;30;30;0;30;30;1913;1836;59;18;285;10950;10997;5,75;100,43;0,94;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"13";"Fog- és szájsebészet";8;8;8;0;8;8;556;531;24;1;0;2920;2194;3,95;75,14;0,18;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"15";"Aneszteziológiai és intenzív betegellátás";15;15;15;0;15;15;772;50;473;249;0;5475;3692;4,78;67,43;32,25;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"18";"Pszichiátria";56;56;56;0;56;56;1244;679;528;37;0;20440;19793;15,91;96,83;2,97;2003;"Önkormányzati kórházak"
"0106";"0106 Fovárosi Szent János KH-RI";"19";"Tüdogyógyászat";55;55;55;0;55;55;1748;1374;252;122;0;20075;18235;10,43;90,83;6,98;2003;"Önkormányzati kórházak"
"0107";"0107 Fovárosi Szent Margit KH-RI";"01";"Belgyógyászat";198;198;198;0;203,4;203,4;6848;5838;662;348;0;74250;62246;9,09;83,83;5,08;2003;"Önkormányzati kórházak"
"0107";"0107 Fovárosi Szent Margit KH-RI";"02";"Sebészet";54;54;54;0;54;54;2019;1692;291;36;46;19710;12903;6,39;65,46;1,78;2003;"Önkormányzati kórházak"
"0107";"0107 Fovárosi Szent Margit KH-RI";"04";"Szülészet-nogyógyászat";70;70;70;0;70;70;4842;4795;45;2;460;25550;19120;3,95;74,83;0,04;2003;"Önkormányzati kórházak"
"0107";"0107 Fovárosi Szent Margit KH-RI";"05";"Csecsemo- és gyermekgyógyászat";10;10;10;0;10;10;313;313;0;0;0;3650;3374;10,78;92,44;0;2003;"Önkormányzati kórházak"
"0107";"0107 Fovárosi Szent Margit KH-RI";"09";"Neurológia";45;45;45;0;45;45;1282;1182;59;41;0;16425;14882;11,61;90,61;3,2;2003;"Önkormányzati kórházak"
"0107";"0107 Fovárosi Szent Margit KH-RI";"12";"Onkológia, onkoradiológia";55;55;55;0;55;55;1900;1693;85;122;0;20075;12996;6,84;64,74;6,42;2003;"Önkormányzati kórházak"
"0107";"0107 Fovárosi Szent Margit KH-RI";"15";"Aneszteziológiai és intenzív betegellátás";6;6;6;0;6;6;295;26;229;40;0;2190;1180;4;53,88;13,56;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"01";"Belgyógyászat";290;290;290;0;290;290;8950;7571;733;646;0;105850;85362;9,54;80,64;7,22;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"02";"Sebészet";83;83;83;0;83;83;2583;2278;188;117;12;30295;21272;8,24;70,22;4,53;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"03";"Ortopédia-traumatológia";151;151;151;0;151;151;6303;5738;416;149;2;55115;41889;6,65;76;2,36;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"04";"Szülészet-nogyógyászat";70;70;70;0;70;70;8244;8146;80;18;475;25550;31979;3,88;125,16;0,22;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"06";"Fül-orr-gégegyógyászat";20;20;20;0;20;20;1166;1140;16;10;0;7300;6451;5,53;88,37;0,86;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"07";"Szemészet";20;20;20;0;20;20;1825;1811;14;0;1;7300;6208;3,4;85,04;0;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"08";"Bor- és nemibeteg";60;60;60;0;60;60;2203;2019;182;2;0;21900;13989;6,35;63,88;0,09;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"09";"Neurológia";90;90;90;0;90;90;2299;1836;393;70;0;32850;22609;9,83;68,82;3,04;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"11";"Urológia";22;22;22;0;22;22;1665;1629;34;2;17;8030;6636;3,99;82,64;0,12;2003;"Önkormányzati kórházak"
"0109";"0109 Fovárosi Szent István KH-RI";"13";"Fog- és szájsebészet";16;16;16;0;16;16;613;604;6;3;0;5840;3822;6,23;65,45;0,49;2003;"Önkormányzati kórházak"
